State,District,Population,active_infs,new_infs,gamma,gamma_d,beta,delta,repr_ratio
Maharashtra,Latur,2847849,24.22448979591837,4.571428571428571,0.0747895576336247,0.003569066251165762,0.13565892741128494,0.495,1.8138752481441864
Uttar_Pradesh,Gautam_Buddha_Nagar,2361277,88.16326530612244,12.857142857142858,0.06823992384581411,0.0012007142109785793,0.08773952658353242,0.32,1.285750652093004
Jharkhand,Ranchi,3536714,18.061224489795922,3.0,0.03486023828573558,0.001672722625666421,-0.04475050075280728,0.495,-1.2837118434476875
Rajasthan,Alwar,4420767,17.918367346938773,2.2857142857142856,0.07006129678487512,0.0007213613691645263,0.047964265202012954,0.47,0.6846043022767389
West_Bengal,Hooghly,5987089,77.61224489795917,9.428571428571429,0.05697068807503374,0.0020529190923790487,0.004625384370214853,0.495,0.0811888451149291
Tamil_Nadu,Tiruchirappalli,3028346,6.142857142857144,1.2857142857142858,0.1004490835526074,0.001134919554850319,0.04448013983064828,0.495,0.4428127988579712
Tamil_Nadu,Viluppuram,3978908,63.26530612244897,2.142857142857143,0.10996207640715658,0.0017008589347323052,-0.038907508546293754,0.3,-0.3538266083866125
Maharashtra,Nanded,3867378,44.83673469387754,2.857142857142857,0.09648502020031312,0.00478820160684434,0.11996803297994253,0.325,1.2433850636179191
Karnataka,Vijayapura,2575205,18.224489795918366,1.5714285714285714,0.162588334457947,0.0025590535761678963,0.21723654175674725,0.495,1.3361139498783343
Tamil_Nadu,Thanjavur,2590519,13.0,1.7142857142857142,0.07063735762700835,0.0004743837840239161,0.06850560199398452,0.105,0.9698211299992238
Tamil_Nadu,Dindigul,2397684,23.95918367346939,1.4285714285714286,0.08576316091244311,0.0014778963518075599,0.06654985265008075,0.495,0.7759724798159257
Uttar_Pradesh,Bareilly,5356663,11.897959183673468,4.857142857142857,0.05316561823876741,0.003737323812059532,0.32952401761373024,0.495,6.198066128636632
Punjab,Jalandhar,2424458,61.06122448979592,1.5714285714285714,0.07480233381174974,0.002102166048968336,-0.10906241714714479,0.46,-1.4580082143107356
West_Bengal,Purba_Medinipur,5795189,20.857142857142858,1.5714285714285714,0.054176347618333,0.001282889766277226,0.09005226717702076,0.46,1.662206315778798
Punjab,Patiala,2227327,16.857142857142858,1.1428571428571428,0.07173742194282932,0.0024912427107791385,-0.19187322847339322,0.255,-2.6746602160627595
Kerala,Ernakulam,3449887,4.142857142857143,0.7142857142857143,0.03436328029775836,0.0006180674629674738,0.1747718625802658,0.1,5.086006372670621
Tamil_Nadu,Pudukkottai,1775923,7.265306122448979,2.0,0.07609682011464584,0.003066090482450343,0.1798176274950283,0.27,2.36301105912335
Bihar,Muzaffarpur,6001439,23.795918367346935,1.1428571428571428,0.13561348816771493,0.0013494972877617416,0.1581608778122877,0.495,1.1662621465549807
Maharashtra,Osmanabad,1828220,10.551020408163266,3.7142857142857144,0.10505499899431757,0.008099943226517735,0.36387613094578325,0.21,3.4636726898209322
Assam,Cachar,2049170,10.816326530612244,2.857142857142857,0.16102023144743324,0.0006321820558779103,0.2368661270220389,0.495,1.471033328500502
Karnataka,Tumakuru,2766758,8.612244897959185,2.2857142857142856,0.049117959399388116,0.00489450905481771,0.1336814897731984,0.145,2.7216417662266266
Kerala,Kozhikode,3285453,11.244897959183673,2.142857142857143,0.054135688820074565,0.0006787448061609508,0.19987681885382536,0.3,3.6921451118528514
Bihar,Bhagalpur,3723123,36.93877551020408,5.571428571428571,0.10286319165529044,0.00161431013604621,0.17426291321356954,0.48,1.6941231397675272
Karnataka,Mandya,1844483,116.28571428571426,23.571428571428573,0.023704447081056353,0.0,0.26409862674496376,0.315,11.141311410550506
Karnataka,Yadgir,1412778,19.857142857142858,16.428571428571427,0.026853011599593638,3.0137213043472708e-05,0.34216836784195354,0.49,12.742271628375995
Rajasthan,Kota,2374146,77.75510204081631,8.571428571428571,0.10952458426869319,0.0036646563304632523,0.1280391778976127,0.35,1.169045093871329
Karnataka,Gadag,1155573,13.408163265306124,2.5714285714285716,0.062205585691916025,0.0034719050268058596,0.2199428801833538,0.34,3.535741649836064
Bihar,Begusarai,3668866,63.73469387755102,12.285714285714286,0.08224577667443404,0.0008114479592929227,0.1998008745634879,0.495,2.4293147033481133
Madhya_Pradesh,Gwalior,2475115,49.163265306122454,6.0,0.09515839368952142,0.0006782675322962827,0.17575862138233792,0.26,1.8470112258913842
Maharashtra,Amravati,3167458,44.06122448979592,9.571428571428571,0.10126160116358648,0.004370199223849804,0.20732730965105303,0.095,2.0474425376320005
